$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Name             ┃ Category         ┃ Source   ┃ Trust    ┃ Status           ┃
│ ticktick-automa… │ productivity     │ local    │ local    │ enabled          │
│ ticktick-operat… │ productivity     │ local    │ local    │ enabled          │
│ weekly-review-p… │ productivity     │ builtin  │ builtin  │ enabled          │
│ xlsx             │ productivity     │ builtin  │ builtin  │ enabled          │
│ arxiv            │ research         │ builtin  │ builtin  │ disabled         │
│ blogwatcher      │ research         │ local    │ local    │ disabled         │
│ competitor-news… │ research         │ builtin  │ builtin  │ enabled          │
│ foreign-talent-… │ research         │ local    │ local    │ enabled          │
│ grounded-citati… │ research         │ builtin  │ builtin  │ enabled          │
│ llm-wiki         │ research         │ builtin  │ builtin  │ disabled         │
│ research-paper-… │ research         │ local    │ local    │ disabled         │
│ rss-feeds        │ research         │ official │ official │ enabled          │
│ omh-docs         │ researcher       │ local    │ local    │ enabled          │
│ omh-jit-learn    │ researcher       │ local    │ local    │ enabled          │
│ omh-long-docume… │ researcher       │ local    │ local    │ enabled          │
│ omh-paper-learn… │ researcher       │ local    │ local    │ enabled          │
│ omh-research-br… │ researcher       │ local    │ local    │ enabled          │
│ omh-research-de… │ researcher       │ local    │ local    │ enabled          │
│ omh-source-find… │ researcher       │ local    │ local    │ enabled          │
│ omh-web-research │ researcher       │ local    │ local    │ enabled          │
│ omh-accessibili… │ reviewer         │ local    │ local    │ enabled          │
│ omh-application… │ reviewer         │ local    │ local    │ enabled          │
│ omh-ask          │ reviewer         │ local    │ local    │ enabled          │
│ omh-build-failu… │ reviewer         │ local    │ local    │ enabled          │
│ omh-code-review  │ reviewer         │ local    │ local    │ enabled          │
│ omh-failure-sig… │ reviewer         │ local    │ local    │ enabled          │
│ omh-jev-action-… │ reviewer         │ local    │ local    │ enabled          │
│ omh-jev-done-ch… │ reviewer         │ local    │ local    │ enabled          │
│ omh-jev-failure… │ reviewer         │ local    │ local    │ enabled          │
│ omh-jev-review-… │ reviewer         │ local    │ local    │ enabled          │
